City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
187,Ratnagiri,IN,2022-10-04 22:08:27,16.9833,73.3,78.6,89,99,9.73
188,Messina,IT,2022-10-04 22:08:28,38.1933,15.5497,69.44,72,14,5.75
189,Snasa,NO,2022-10-04 22:08:28,64.2457,12.3778,51.21,97,100,3.56
190,Namibe,AO,2022-10-04 22:08:29,-15.1961,12.1522,65.03,88,74,2.98
191,Purranque,CL,2022-10-04 22:08:29,-40.9167,-73.1667,56.53,76,73,2.53
192,Inhambane,MZ,2022-10-04 22:08:30,-23.865,35.3833,72.14,92,10,5.39
193,Maceio,BR,2022-10-04 22:08:31,-9.6658,-35.7353,72.84,88,0,6.91
194,Moose Factory,CA,2022-10-04 22:08:32,51.2585,-80.6094,46.38,93,100,3.44
195,Mattru,SL,2022-10-04 22:08:32,7.6244,-11.8332,72.86,98,84,3.38
196,Angoche,MZ,2022-10-04 22:08:33,-16.2325,39.9086,73.0,77,0,9.89
197,Bull Savanna,JM,2022-10-04 22:08:34,17.8868,-77.5902,79.34,82,100,4.34
198,Methoni,GR,2022-10-04 22:08:34,36.8197,21.7049,70.21,73,34,9.8
199,Nizip,TR,2022-10-04 22:08:35,37.0097,37.7942,69.93,37,16,6.51
200,Constitucion,CL,2022-10-04 22:08:36,-35.3333,-72.4167,53.56,85,99,2.75
201,Road Town,VG,2022-10-04 22:08:36,18.4167,-64.6167,84.29,89,75,6.91
202,Codrington,AU,2022-10-04 22:08:37,-38.2667,141.9667,51.4,93,100,18.95
203,Busselton,AU,2022-10-04 22:08:37,-33.65,115.3333,55.81,73,93,13.38
204,Defiance,US,2022-10-04 22:08:38,41.3334,-84.45,71.85,24,0,8.05
205,Pisco,PE,2022-10-04 22:08:38,-13.7,-76.2167,62.65,72,0,18.41
206,Sambava,MG,2022-10-04 22:08:39,-14.2667,50.1667,66.85,88,28,9.19
207,Clyde River,CA,2022-10-04 22:06:01,70.4692,-68.5914,25.92,85,100,18.79
208,Vardo,NO,2022-10-04 22:07:26,70.3705,31.1107,44.58,87,100,13.8
209,Bereda,ES,2022-10-04 22:08:40,43.2686,-7.5406,59.41,80,3,1.86
210,Buritis,BR,2022-10-04 22:08:41,-15.6178,-46.4233,79.2,58,63,1.66
211,Impfondo,CG,2022-10-04 22:08:41,1.6381,18.0667,74.84,78,100,2.33
212,Izhmorskiy,RU,2022-10-04 22:08:42,56.194,86.6414,34.2,76,97,9.13
213,Arona,ES,2022-10-04 22:08:43,28.0996,-16.681,76.03,67,40,25.32
214,Sao Filipe,CV,2022-10-04 22:08:43,14.8961,-24.4956,78.19,78,100,1.59
215,Halifax,CA,2022-10-04 22:03:57,44.6453,-63.5724,55.22,86,21,1.01
216,Chissamba,AO,2022-10-04 22:08:44,-12.1667,17.3333,70.43,43,69,2.89
217,Hindupur,IN,2022-10-04 22:08:45,13.8289,77.4933,72.84,77,99,6.11
218,Novyy Urengoy,RU,2022-10-04 22:04:43,66.0833,76.6333,36.72,97,100,14.29
219,Debre Birhan,ET,2022-10-04 22:08:46,9.6833,39.5333,48.88,85,82,2.71
220,Dingle,PH,2022-10-04 22:08:46,10.9995,122.6711,76.26,91,100,5.39
221,Narsaq,GL,2022-10-04 22:08:47,60.9167,-46.05,39.42,73,100,10.4
222,Birjand,IR,2022-10-04 22:08:47,32.8663,59.2211,63.61,28,0,5.88
223,Kalmunai,LK,2022-10-04 22:08:48,7.4167,81.8167,80.91,73,100,3.67
224,Monrovia,LR,2022-10-04 22:08:49,6.3005,-10.7969,77.36,91,74,7.65
225,Mollendo,PE,2022-10-04 22:08:49,-17.0231,-72.0147,60.1,78,85,5.93
226,Potiskum,NG,2022-10-04 22:08:50,11.7091,11.0694,79.07,56,50,14.88
227,Salalah,OM,2022-10-04 22:08:51,17.0151,54.0924,78.89,83,0,3.44
228,Saint-Joseph,RE,2022-10-04 22:08:51,-21.3667,55.6167,64.78,80,20,9.91
229,Businga,CD,2022-10-04 22:08:52,3.3333,20.8833,70.88,96,92,0.92
230,Bilma,NE,2022-10-04 22:08:52,18.6853,12.9164,87.69,17,1,4.23
231,Urucara,BR,2022-10-04 22:09:53,-2.5364,-57.76,83.46,59,59,2.28
