,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
604,Sabang,ID,79.29,overcast clouds,5.8933,95.3214,Hotel Citra
607,Santa,PH,76.77,broken clouds,17.486,120.4348,Monte Leah Beach Resort
608,Garca,BR,88.72,scattered clouds,-22.2106,-49.6561,Fenix Motel(Only Adults) - Garça
609,Varadero,CU,84.96,few clouds,23.1536,-81.2514,Hotel Tuxpan Varadero
614,Ortigueira,BR,75.83,moderate rain,-24.2083,-50.9494,Village das Araucárias
616,Morant Bay,JM,89.22,few clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
617,Pasni,PK,78.69,clear sky,25.2631,63.471,Kashmiri Hotal
619,Pitimbu,BR,82.99,clear sky,-7.4706,-34.8086,Reserva do Abiaí
626,Santa Cruz De La Palma,ES,78.13,few clouds,28.6835,-17.7642,H10 Taburiente Playa
633,Mayumba,GA,76.17,light rain,-3.432,10.6554,LIKWALE LODGE
637,Kibala,TD,80.55,few clouds,9.1104,18.3463,Prasant Hotels
648,Puerto Colombia,CO,84.29,broken clouds,10.9878,-74.9547,Hotel El Emigrante
650,Sailana,IN,75.52,overcast clouds,23.4667,74.9167,Krishna Marriage Garden Sailana
655,Bud,US,77.05,scattered clouds,39.447,-86.1758,Ted McQuinn Trust
657,Dhidhdhoo,MV,81.03,overcast clouds,6.8833,73.1,Dhidhoo beach
662,Veraval,IN,80.2,few clouds,20.9,70.3667,Lords Inn Somnath
667,Kalmunai,LK,80.01,overcast clouds,7.4167,81.8167,VS Villa
671,Muli,MV,80.91,overcast clouds,2.9167,73.5667,Medhufushi Island Resort
674,Navadwip,IN,77.31,scattered clouds,23.4167,88.3667,Conch Building
675,Luanda,AO,75.2,clear sky,-8.8368,13.2343,EPIC SANA Luanda
678,The Valley,AI,87.82,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
683,Isla Mujeres,MX,86.16,few clouds,21.2311,-86.731,Hotel La Joya Isla Mujeres
689,San Jose De Las Lajas,CU,83.32,clear sky,22.9614,-82.1511,Hostal Spirit
696,Sinnamary,GF,84.16,clear sky,5.3833,-52.95,ALETHEIA Appartement Sinnamary
697,Alvarado,MX,81.7,few clouds,18.7667,-95.7667,Del Pastor
701,Mariakani,KE,75.29,few clouds,-3.8633,39.4736,The County Luxury Comfort Hotels Ltd
702,Bonfim,BR,78.75,moderate rain,3.0833,-59.95,
